Station ID,Station Name,Town,Region,Country,Latitude (N),Longitude (E),Building Condition,Service Status,Status Year,Station Notes,Stop Sequence,Line ID,Line Name,Year Opened,Gauge,Line Status,Status Year.1,Notes,Is in NP-M
15,Orajõe,Metsapoole,Pärnu maakond,Estonia,57.903263,24.436563,Dismantled/Not built,Closed,1975,,7,2,Riisselja–Orajõe,1923,750 mm,Dismantled,1975,,FALSE
16,Ikla,Ikla,Pärnu maakond,Estonia,57.877217,24.367527,Residential,Closed,1975,,8,2,Riisselja–Orajõe,1923,750 mm,Dismantled,1975,,FALSE
17,Ainaži,Ainaži,Limbažu novads,Latvia,57.869711,24.359375,Non-railway use,Closed,1977,Museum,9,2,Riisselja–Orajõe,1923,750 mm,Dismantled,1975,,FALSE
17,Ainaži,Ainaži,Limbažu novads,Latvia,57.869711,24.359375,Non-railway use,Closed,1977,Museum,1,5,Ainaži—Valmiera—Smiltene,1902,750 mm,Dismantled,2000,"Closed in parts 1970, 1977, 1979",TRUE
18,Valga,Valga,Valga maakond,Estonia,57.774717,26.053239,Active,Operational,2024,,1,3,Valka—Rūjiena,1896,750 mm,Dismantled,1977,Section from Rūjiena operating as Rīga—Rūjiena—Ipiķi,FALSE
18,Valga,Valga,Valga maakond,Estonia,57.774717,26.053239,Active,Operational,2024,,0,100,Rīga—Valga,1889,1520 mm,Operational,2024,,FALSE
18,Valga,Valga,Valga maakond,Estonia,57.774717,26.053239,Active,Operational,2024,,1,29,Valga–Koidula,1889,1520 mm,Partially operational,2001,,FALSE
19,Valka,Valka,Valkas novads,Latvia,57.773581,26.003783,Ruined/Disused,Closed,1944,Info outside,2,3,Valka—Rūjiena,1896,750 mm,Dismantled,1977,Section from Rūjiena operating as Rīga—Rūjiena—Ipiķi,FALSE
19,Valka,Valka,Valkas novads,Latvia,57.773581,26.003783,Ruined/Disused,Closed,1944,Info outside,1,4,Valka-Gulbene,1915,750 mm,Partially operational,1973,"Ape-Valga closed 1970, operating as Gulbene-Alūksne",FALSE
20,Pedele,Pedele,Valkas novads,Latvia,57.810735,25.922861,Dismantled/Not built,Closed,1944,,3,3,Valka—Rūjiena,1896,750 mm,Dismantled,1977,Section from Rūjiena operating as Rīga—Rūjiena—Ipiķi,FALSE
21,Ērģeme,Ērģeme,Valkas novads,Latvia,57.837575,25.82945,Residential,Closed,1944,,4,3,Valka—Rūjiena,1896,750 mm,Dismantled,1977,Section from Rūjiena operating as Rīga—Rūjiena—Ipiķi,FALSE
22,Omuļi,Ērģeme,Valkas novads,Latvia,57.857871,25.75264,Dismantled/Not built,Closed,1944,,5,3,Valka—Rūjiena,1896,750 mm,Dismantled,1977,Section from Rūjiena operating as Rīga—Rūjiena—Ipiķi,FALSE
23,Piksāri,Piksāri,Valmieras novads,Latvia,57.888267,25.583507,Dismantled/Not built,Closed,1944,,6,3,Valka—Rūjiena,1896,750 mm,Dismantled,1977,Section from Rūjiena operating as Rīga—Rūjiena—Ipiķi,FALSE
24,Naukšēni,Naukšēni,Valmieras novads,Latvia,57.887355,25.458157,Residential,Closed,1944,,7,3,Valka—Rūjiena,1896,750 mm,Dismantled,1977,Section from Rūjiena operating as Rīga—Rūjiena—Ipiķi,FALSE
25,Rūjiena,Rūjiena,Valmieras novads,Latvia,57.898677,25.335376,Ruined/Disused,Closed,1977,,8,3,Valka—Rūjiena,1896,750 mm,Dismantled,1977,Section from Rūjiena operating as Rīga—Rūjiena—Ipiķi,FALSE
26,Pendiga,Vilpulka,Valmieras novads,Latvia,57.953832,25.270191,Dismantled/Not built,Closed,1996,Converted to 1524 mm in 1977,9,3,Valka—Rūjiena,1896,750 mm,Dismantled,1977,Section from Rūjiena operating as Rīga—Rūjiena—Ipiķi,FALSE
26,Pendiga,Vilpulka,Valmieras novads,Latvia,57.953832,25.270191,Dismantled/Not built,Closed,1996,Converted to 1524 mm in 1977,21,6,Rīga—Rūjiena—Ipiķi,1937,1520 mm,Partially operational,2005,Operating as Rīga-Skulte,FALSE
27,Ķirbiļi,Ķirbēni,Valmieras novads,Latvia,58.00441,25.23903,Dismantled/Not built,Closed,1996,Converted to 1524 mm in 1977,10,3,Valka—Rūjiena,1896,750 mm,Dismantled,1977,Section from Rūjiena operating as Rīga—Rūjiena—Ipiķi,FALSE
27,Ķirbiļi,Ķirbēni,Valmieras novads,Latvia,58.00441,25.23903,Dismantled/Not built,Closed,1996,Converted to 1524 mm in 1977,22,6,Rīga—Rūjiena—Ipiķi,1937,1520 mm,Partially operational,2005,Operating as Rīga-Skulte,FALSE
28,Ipiķi,Ipiķi,Valmieras novads,Latvia,58.069433,25.198744,Ruined/Disused,Closed,1996,Converted to 1524 mm in 1977,11,3,Valka—Rūjiena,1896,750 mm,Dismantled,1977,Section from Rūjiena operating as Rīga—Rūjiena—Ipiķi,FALSE
28,Ipiķi,Ipiķi,Valmieras novads,Latvia,58.069433,25.198744,Ruined/Disused,Closed,1996,Converted to 1524 mm in 1977,23,6,Rīga—Rūjiena—Ipiķi,1937,1520 mm,Partially operational,2005,Operating as Rīga-Skulte,FALSE
29,Žuldiņi,Žuldiņas,Valkas novads,Latvia,57.72899,26.14666,Dismantled/Not built,Closed,1944,LV branch,2,4,Valka-Gulbene,1915,750 mm,Partially operational,1973,"Ape-Valga closed 1970, operating as Gulbene-Alūksne",FALSE
30,Kaagjärve,Pugritsa,Valga maakond,Estonia,57.74688,26.185058,Residential,Closed,1970,EE branch,3,4,Valka-Gulbene,1915,750 mm,Partially operational,1973,"Ape-Valga closed 1970, operating as Gulbene-Alūksne",FALSE
31,Lepa,Lepa,Valga maakond,Estonia,57.7128,26.21918,Residential,Closed,1970,EE branch,4,4,Valka-Gulbene,1915,750 mm,Partially operational,1973,"Ape-Valga closed 1970, operating as Gulbene-Alūksne",FALSE
32,Koikküla,Koikküla,Valga maakond,Estonia,57.69203,26.263225,Residential,Closed,1970,EE and LV branches merge,5,4,Valka-Gulbene,1915,750 mm,Partially operational,1973,"Ape-Valga closed 1970, operating as Gulbene-Alūksne",FALSE
33,Laanemetsa,Laanemetsa,Valga maakond,Estonia,57.646854,26.319022,Residential,Closed,1970,,6,4,Valka-Gulbene,1915,750 mm,Partially operational,1973,"Ape-Valga closed 1970, operating as Gulbene-Alūksne",FALSE
34,Taheva,Taheva,Valga maakond,Estonia,57.628822,26.346535,Residential,Closed,1970,,7,4,Valka-Gulbene,1915,750 mm,Partially operational,1973,"Ape-Valga closed 1970, operating as Gulbene-Alūksne",FALSE
35,Hargla,Hargla,Valga maakond,Estonia,57.613365,26.415797,Dismantled/Not built,Closed,1970,Approximate location,8,4,Valka-Gulbene,1915,750 mm,Partially operational,1973,"Ape-Valga closed 1970, operating as Gulbene-Alūksne",FALSE
36,Saru,Saru,Võru maakond,Estonia,57.601897,26.476059,Non-railway use,Closed,1970,Industrial,9,4,Valka-Gulbene,1915,750 mm,Partially operational,1973,"Ape-Valga closed 1970, operating as Gulbene-Alūksne",FALSE
37,Mõniste,Kuutsi,Võru maakond,Estonia,57.581435,26.529686,Residential,Closed,1970,,10,4,Valka-Gulbene,1915,750 mm,Partially operational,1973,"Ape-Valga closed 1970, operating as Gulbene-Alūksne",FALSE
39,Ape,Ape,Smiltenes novads,Latvia,57.53741,26.696116,Non-railway use,Closed,1973,Café,11,4,Valka-Gulbene,1915,750 mm,Partially operational,1973,"Ape-Valga closed 1970, operating as Gulbene-Alūksne",FALSE
40,Laicene,Lūšakrogs,Smiltenes novads,Latvia,57.524741,26.742415,Dismantled/Not built,Closed,1973,,12,4,Valka-Gulbene,1915,750 mm,Partially operational,1973,"Ape-Valga closed 1970, operating as Gulbene-Alūksne",FALSE
41,Vaidava,karva,Alūksnes novads,Latvia,57.487895,26.824285,Residential,Closed,1973,,13,4,Valka-Gulbene,1915,750 mm,Partially operational,1973,"Ape-Valga closed 1970, operating as Gulbene-Alūksne",FALSE
42,Alsviķi,Alsviķi,Alūksnes novads,Latvia,57.452071,26.941777,Dismantled/Not built,Closed,1973,,14,4,Valka-Gulbene,1915,750 mm,Partially operational,1973,"Ape-Valga closed 1970, operating as Gulbene-Alūksne",FALSE
43,Alūksne,Alūksne,Alūksnes novads,Latvia,57.412184,27.045598,Active,Operational,2024,,15,4,Valka-Gulbene,1915,750 mm,Partially operational,1973,"Ape-Valga closed 1970, operating as Gulbene-Alūksne",FALSE
44,Salace,Skalbes,Limbažu novads,Latvia,57.851532,24.469019,Ruined/Disused,Closed,1977,,2,5,Ainaži—Valmiera—Smiltene,1902,750 mm,Dismantled,2000,"Closed in parts 1970, 1977, 1979",TRUE
45,Lagaste,Zariņi,Limbažu novads,Latvia,57.84115,24.51192,Dismantled/Not built,Closed,1977,,3,5,Ainaži—Valmiera—Smiltene,1902,750 mm,Dismantled,2000,"Closed in parts 1970, 1977, 1979",TRUE
46,Zonepe,Zonapi,Limbažu novads,Latvia,57.783381,24.590523,Residential,Closed,1977,,4,5,Ainaži—Valmiera—Smiltene,1902,750 mm,Dismantled,2000,"Closed in parts 1970, 1977, 1979",TRUE
47,Mežkadaga,Mežkadaga,Limbažu novads,Latvia,57.756922,24.618116,Ruined/Disused,Closed,1977,,5,5,Ainaži—Valmiera—Smiltene,1902,750 mm,Dismantled,2000,"Closed in parts 1970, 1977, 1979",TRUE
48,Pāle,Pāle,Limbažu novads,Latvia,57.70772,24.68796,Residential,Closed,1979,Uncertain,6,5,Ainaži—Valmiera—Smiltene,1902,750 mm,Dismantled,2000,"Closed in parts 1970, 1977, 1979",TRUE
48,Pāle,Pāle,Limbažu novads,Latvia,57.70772,24.68796,Residential,Closed,1979,Uncertain,3,5.1,Staicele — Puikule,1911,750 mm,Dismantled,1977,,FALSE
49,Ārciems,Ārciems,Limbažu novads,Latvia,57.684457,24.797126,Residential,Closed,1979,Uncertain,7,5,Ainaži—Valmiera—Smiltene,1902,750 mm,Dismantled,2000,"Closed in parts 1970, 1977, 1979",TRUE
49,Ārciems,Ārciems,Limbažu novads,Latvia,57.684457,24.797126,Residential,Closed,1979,Uncertain,4,5.1,Staicele — Puikule,1911,750 mm,Dismantled,1977,,FALSE
50,Puikule,Puikules Stacija,Limbažu novads,Latvia,57.655244,24.888882,Ruined/Disused,Closed,2000,,8,5,Ainaži—Valmiera—Smiltene,1902,750 mm,Dismantled,2000,"Closed in parts 1970, 1977, 1979",TRUE
50,Puikule,Puikules Stacija,Limbažu novads,Latvia,57.655244,24.888882,Ruined/Disused,Closed,2000,,5,5.1,Staicele — Puikule,1911,750 mm,Dismantled,1977,,FALSE
50,Puikule,Puikules Stacija,Limbažu novads,Latvia,57.655244,24.888882,Ruined/Disused,Closed,2000,,11,6,Rīga—Rūjiena—Ipiķi,1937,1520 mm,Partially operational,2005,Operating as Rīga-Skulte,FALSE
51,Pavāri,Ungurpils,Limbažu novads,Latvia,57.760278,24.710833,Dismantled/Not built,Closed,1979,,2,5.1,Staicele — Puikule,1911,750 mm,Dismantled,1977,,FALSE
52,Staicele,Staicele,Limbažu novads,Latvia,57.828937,24.763071,Residential,Closed,1979,,1,5.1,Staicele — Puikule,1911,750 mm,Dismantled,1977,,FALSE
53,Ozoli,Ozoli,Limbažu novads,Latvia,57.641628,24.93225,Residential,Closed,2000,,9,5,Ainaži—Valmiera—Smiltene,1902,750 mm,Dismantled,2000,"Closed in parts 1970, 1977, 1979",TRUE
54,Kauguri,Dikļi,Valmieras novads,Latvia,57.618225,24.981684,Dismantled/Not built,Closed,2000,,10,5,Ainaži—Valmiera—Smiltene,1902,750 mm,Dismantled,2000,"Closed in parts 1970, 1977, 1979",TRUE
55,Dikļi,Dikļi,Valmieras novads,Latvia,57.59666,25.048791,Residential,Closed,2000,,11,5,Ainaži—Valmiera—Smiltene,1902,750 mm,Dismantled,2000,"Closed in parts 1970, 1977, 1979",TRUE
56,Dauguli,Dikļi,Valmieras novads,Latvia,57.553396,25.126035,Residential,Closed,2000,,12,5,Ainaži—Valmiera—Smiltene,1902,750 mm,Dismantled,2000,"Closed in parts 1970, 1977, 1979",TRUE
57,Zilaiskalns,Liepas,Valmieras novads,Latvia,57.541139,25.256248,Non-railway use,Closed,1979,Event space,13,5,Ainaži—Valmiera—Smiltene,1902,750 mm,Dismantled,2000,"Closed in parts 1970, 1977, 1979",TRUE
58,Kocēni,Kocēni,Valmieras novads,Latvia,57.534126,25.338426,Residential,Closed,1979,,14,5,Ainaži—Valmiera—Smiltene,1902,750 mm,Dismantled,2000,"Closed in parts 1970, 1977, 1979",TRUE
59,Jaņuparks,Valmiera,Valmieras novads,Latvia,57.534599,25.3973,Residential,Closed,1979,,15,5,Ainaži—Valmiera—Smiltene,1902,750 mm,Dismantled,2000,"Closed in parts 1970, 1977, 1979",TRUE
60,Valmiera,Valmiera,Valmieras novads,Latvia,57.522273,25.440332,Active,Operational,2024,,16,5,Ainaži—Valmiera—Smiltene,1902,750 mm,Dismantled,2000,"Closed in parts 1970, 1977, 1979",TRUE
60,Valmiera,Valmiera,Valmieras novads,Latvia,57.522273,25.440332,Active,Operational,2024,,0,100,Rīga—Valga,1889,1520 mm,Operational,2024,,FALSE
61,Cempi,Cempi,Valmieras novads,Latvia,57.500824,25.552976,Dismantled/Not built,Closed,1970,Approximate location,17,5,Ainaži—Valmiera—Smiltene,1902,750 mm,Dismantled,2000,"Closed in parts 1970, 1977, 1979",TRUE
62,Jaunvāle,Jaunvāle,Valmieras novads,Latvia,57.482379,25.614982,Residential,Closed,1970,,18,5,Ainaži—Valmiera—Smiltene,1902,750 mm,Dismantled,2000,"Closed in parts 1970, 1977, 1979",TRUE
63,Bikseja,Bikseja,Smiltenes novads,Latvia,57.471339,25.721103,Dismantled/Not built,Closed,1970,,19,5,Ainaži—Valmiera—Smiltene,1902,750 mm,Dismantled,2000,"Closed in parts 1970, 1977, 1979",TRUE
64,Stariņi,Stariņi,Smiltenes novads,Latvia,57.471437,25.80876,Dismantled/Not built,Closed,1970,,20,5,Ainaži—Valmiera—Smiltene,1902,750 mm,Dismantled,2000,"Closed in parts 1970, 1977, 1979",TRUE
65,Smiltene,Smiltene,Smiltenes novads,Latvia,57.430237,25.898648,Residential,Closed,1970,,21,5,Ainaži—Valmiera—Smiltene,1902,750 mm,Dismantled,2000,"Closed in parts 1970, 1977, 1979",TRUE
66,Purezers,Puikule,Limbažu novads,Latvia,57.685401,24.877444,Residential,Closed,1998,,12,6,Rīga—Rūjiena—Ipiķi,1937,1520 mm,Partially operational,2005,Operating as Rīga-Skulte,FALSE
67,Auseklis,Puikule,Limbažu novads,Latvia,57.715821,24.877785,Ruined/Disused,Closed,1998,,13,6,Rīga—Rūjiena—Ipiķi,1937,1520 mm,Partially operational,2005,Operating as Rīga-Skulte,FALSE
68,Aloja,Aloja,Limbažu novads,Latvia,57.764134,24.884484,Residential,Closed,1998,,14,6,Rīga—Rūjiena—Ipiķi,1937,1520 mm,Partially operational,2005,Operating as Rīga-Skulte,FALSE
69,Upšas,Aloja,Limbažu novads,Latvia,57.781047,24.924524,Dismantled/Not built,Closed,1996,,15,6,Rīga—Rūjiena—Ipiķi,1937,1520 mm,Partially operational,2005,Operating as Rīga-Skulte,FALSE
70,Iģe,Ķurbēni,Valmieras novads,Latvia,57.818141,24.974295,Dismantled/Not built,Closed,1996,,16,6,Rīga—Rūjiena—Ipiķi,1937,1520 mm,Partially operational,2005,Operating as Rīga-Skulte,FALSE
71,Mazsalaca,Mazsalaca,Valmieras novads,Latvia,57.867789,25.053245,Dismantled/Not built,Closed,1996,,17,6,Rīga—Rūjiena—Ipiķi,1937,1520 mm,Partially operational,2005,Operating as Rīga-Skulte,FALSE
72,Idus,Idus,Valmieras novads,Latvia,57.888117,25.177722,Residential,Closed,1996,,18,6,Rīga—Rūjiena—Ipiķi,1937,1520 mm,Partially operational,2005,Operating as Rīga-Skulte,FALSE
73,Virķēni,Virķēni,Valmieras novads,Latvia,57.910442,25.247889,Dismantled/Not built,Closed,1996,Approximate location,19,6,Rīga—Rūjiena—Ipiķi,1937,1520 mm,Partially operational,2005,Operating as Rīga-Skulte,FALSE
84,Ieriķi,Ieriķi,Cēsu novads,Latvia,57.199593,25.173073,Active,Operational,2024,,0,100,Rīga—Valga,1889,1520 mm,Operational,2024,,FALSE
84,Ieriķi,Ieriķi,Cēsu novads,Latvia,57.199593,25.173073,Active,Operational,2024,,1,7,Ieriķi—Abrene,1902,1520 mm,Dismantled,2001,,TRUE
74,Skulte,Skulte,Limbažu novads,Latvia,57.333377,24.463017,Active,Operational,2024,,1,6,Rīga—Rūjiena—Ipiķi,1937,1520 mm,Partially operational,2005,Operating as Rīga-Skulte,FALSE
85,Melturi,Melturi,Cēsu novads,Latvia,57.207214,25.234362,Active,Operational,2024,,0,100,Rīga—Valga,1889,1520 mm,Operational,2024,,FALSE
85,Melturi,Melturi,Cēsu novads,Latvia,57.207214,25.234362,Active,Operational,2024,,2,7,Ieriķi—Abrene,1902,1520 mm,Dismantled,2001,,TRUE
75,Ziediņi,Skultes miuža,Limbažu novads,Latvia,57.36242,24.510037,Residential,Closed,1999,,2,6,Rīga—Rūjiena—Ipiķi,1937,1520 mm,Partially operational,2005,Operating as Rīga-Skulte,FALSE
76,Stiene,Stiene,Limbažu novads,Latvia,57.39502,24.577338,Residential,Closed,1999,,3,6,Rīga—Rūjiena—Ipiķi,1937,1520 mm,Partially operational,2005,Operating as Rīga-Skulte,FALSE
77,Inte,Inte,Limbažu novads,Latvia,57.409884,24.618666,Residential,Closed,1999,"Station keeper houses used, shelter ruined",4,6,Rīga—Rūjiena—Ipiķi,1937,1520 mm,Partially operational,2005,Operating as Rīga-Skulte,FALSE
78,Lāde,Nabe,Limbažu novads,Latvia,57.44417,24.671218,Ruined/Disused,Closed,1999,,5,6,Rīga—Rūjiena—Ipiķi,1937,1520 mm,Partially operational,2005,Operating as Rīga-Skulte,FALSE
79,Lielezers,Limbaži,Limbažu novads,Latvia,57.464946,24.705088,Ruined/Disused,Closed,1999,,6,6,Rīga—Rūjiena—Ipiķi,1937,1520 mm,Partially operational,2005,Operating as Rīga-Skulte,FALSE
80,Limbaži,Limbaži,Limbažu novads,Latvia,57.509124,24.721768,Non-railway use,Closed,1999,Bus station building,7,6,Rīga—Rūjiena—Ipiķi,1937,1520 mm,Partially operational,2005,Operating as Rīga-Skulte,FALSE
81,Katvari,Stirnas,Limbažu novads,Latvia,57.548027,24.765084,Dismantled/Not built,Closed,1999,,8,6,Rīga—Rūjiena—Ipiķi,1937,1520 mm,Partially operational,2005,Operating as Rīga-Skulte,FALSE
82,Neiķene,Pociems,Limbažu novads,Latvia,57.59217,24.823105,Residential,Closed,1999,,9,6,Rīga—Rūjiena—Ipiķi,1937,1520 mm,Partially operational,2005,Operating as Rīga-Skulte,FALSE
83,Pociems,Pociems,Limbažu novads,Latvia,57.613589,24.847475,Dismantled/Not built,Closed,1999,,10,6,Rīga—Rūjiena—Ipiķi,1937,1520 mm,Partially operational,2005,Operating as Rīga-Skulte,FALSE
86,Amata,Amata,Cēsu novads,Latvia,57.210366,25.310168,Ruined/Disused,Closed,1999,Platform replaced with a memorial,3,7,Ieriķi—Abrene,1902,1520 mm,Dismantled,2001,,TRUE
87,Rāmuļi,Rāmuļi,Cēsu novads,Latvia,57.21845,25.428826,Residential,Closed,1999,,4,7,Ieriķi—Abrene,1902,1520 mm,Dismantled,2001,,TRUE
88,Meļļi,Meļļi,Cēsu novads,Latvia,57.216836,25.576003,Residential,Closed,1999,,5,7,Ieriķi—Abrene,1902,1520 mm,Dismantled,2001,,TRUE
89,Dzērbene,Dzērbenes Stacija,Cēsu novads,Latvia,57.208567,25.709396,Residential,Closed,1999,,6,7,Ieriķi—Abrene,1902,1520 mm,Dismantled,2001,,TRUE
90,Drusti,Magonas,Smiltenes novads,Latvia,57.190979,25.860665,Residential,Closed,1999,,7,7,Ieriķi—Abrene,1902,1520 mm,Dismantled,2001,,TRUE
91,Ubeja,Mauragi,Cēsu novads,Latvia,57.173405,25.921385,Residential,Closed,1945,Approximate location,8,7,Ieriķi—Abrene,1902,1520 mm,Dismantled,2001,,TRUE
92,Piebalga,Jaunpiebalga,Cēsu novads,Latvia,57.16567,26.008624,Residential,Closed,1999,,9,7,Ieriķi—Abrene,1902,1520 mm,Dismantled,2001,,TRUE
93,Ranka,Lāčpavāriņi,Gulbenes novads,Latvia,57.184782,26.134962,Non-railway use,Closed,1999,Industrial,10,7,Ieriķi—Abrene,1902,1520 mm,Dismantled,2001,,TRUE
94,Uriekste,Kāķupi,Gulbenes novads,Latvia,57.188715,26.250752,Dismantled/Not built,Closed,1999,,11,7,Ieriķi—Abrene,1902,1520 mm,Dismantled,2001,,TRUE
127,Rūjiena,Rūjiena,Valmieras novads,Latvia,57.921209,25.298873,Ruined/Disused,Closed,1996,New station opened 1977,20,6,Rīga—Rūjiena—Ipiķi,1937,1520 mm,Partially operational,2005,Operating as Rīga-Skulte,FALSE
95,Lizums,Lizums,Gulbenes novads,Latvia,57.18552,26.367131,Ruined/Disused,Closed,1999,Uncertain,12,7,Ieriķi—Abrene,1902,1520 mm,Dismantled,2001,,TRUE
96,Tirza,Tirza,Gulbenes novads,Latvia,57.173262,26.497353,Ruined/Disused,Closed,1999,,13,7,Ieriķi—Abrene,1902,1520 mm,Dismantled,2001,,TRUE
97,Galgauska,Galgauska,Gulbenes novads,Latvia,57.174389,26.554722,Ruined/Disused,Closed,1999,,14,7,Ieriķi—Abrene,1902,1520 mm,Dismantled,2001,,TRUE
98,Kamalda,Kamalda,Gulbenes novads,Latvia,57.180472,26.652833,Ruined/Disused,Closed,1999,,15,7,Ieriķi—Abrene,1902,1520 mm,Dismantled,2001,,TRUE
99,Gulbene,Gulbene,Gulbenes novads,Latvia,57.182983,26.765067,Active,Operational,2024,,16,7,Ieriķi—Abrene,1902,1520 mm,Dismantled,2001,,TRUE
100,Melnupe,Zeltaleja,Gulbenes novads,Latvia,57.185212,26.849897,Residential,Closed,2001,,17,7,Ieriķi—Abrene,1902,1520 mm,Dismantled,2001,,TRUE
101,Stradi,Antāni,Gulbenes novads,Latvia,57.179695,26.874476,Residential,Closed,1945,,18,7,Ieriķi—Abrene,1902,1520 mm,Dismantled,2001,,TRUE
102,Medņi,Medņi,Gulbenes novads,Latvia,57.187024,26.930502,Dismantled/Not built,Closed,1950,,19,7,Ieriķi—Abrene,1902,1520 mm,Dismantled,2001,,TRUE
103,Ezermala,Medņi,Gulbenes novads,Latvia,57.190948,26.960733,Dismantled/Not built,Closed,1945,,20,7,Ieriķi—Abrene,1902,1520 mm,Dismantled,2001,,TRUE
104,Litene,Litene,Gulbenes novads,Latvia,57.178048,27.003086,Residential,Closed,2001,Uncertain,21,7,Ieriķi—Abrene,1902,1520 mm,Dismantled,2001,,TRUE
105,Pededze,Silava,Gulbenes novads,Latvia,57.176801,27.031615,Dismantled/Not built,Closed,1945,,22,7,Ieriķi—Abrene,1902,1520 mm,Dismantled,2001,,TRUE
106,Sita,Sitas stacija,Balvu novads,Latvia,57.174041,27.10905,Residential,Closed,2001,,23,7,Ieriķi—Abrene,1902,1520 mm,Dismantled,2001,,TRUE
106,Sita,Sitas stacija,Balvu novads,Latvia,57.174041,27.10905,Residential,Closed,2001,,13,8,Rēzekne—Sita,1947,750 mm,Dismantled,2000,Traffic closed 1990,TRUE
107,Balvi,Kubuli,Balvu novads,Latvia,57.164962,27.206507,Residential,Closed,2001,Uncertain,24,7,Ieriķi—Abrene,1902,1520 mm,Dismantled,2001,,TRUE
108,Vīksna,Vīksna,Balvu novads,Latvia,57.21696,27.32171,Dismantled/Not built,Closed,2001,,25,7,Ieriķi—Abrene,1902,1520 mm,Dismantled,2001,,TRUE
109,Pakalnieši,Vīksna,Balvu novads,Latvia,57.220651,27.352887,Residential,Closed,1944,,26,7,Ieriķi—Abrene,1902,1520 mm,Dismantled,2001,,TRUE
109,Pakalnieši,Vīksna,Balvu novads,Latvia,57.220651,27.352887,Residential,Closed,1944,,1,24,Pakalnieši—Kūdupe,1934,1520 mm,Dismantled,1944,Rebuilt to 1435 mm for 1944,TRUE
110,Kuprava,Kuprava,Balvu novads,Latvia,57.23931,27.497519,Ruined/Disused,Closed,2001,,27,7,Ieriķi—Abrene,1902,1520 mm,Dismantled,2001,,TRUE
